scale,mean,var
6816.815085621593,28029.329951657928,46468967.91155813
11534.174681813416,32362.750119152992,133037185.5905856
18034.116772281322,41688.16327364336,325229367.75627846
25545.245432941912,54311.375161707634,652559564.2292396
10387.381182696437,23748.675903860556,107897687.83463605
11121.623832379604,38473.565397971,123690516.66895398
26945.498579650433,48907.05269966637,726059893.7059435
10608.332696766127,23350.588888132363,112536722.6052773
8589.477349889645,23501.724450194048,73779121.14426725
4663.070175256622,9930.104786545924,21744223.45936782
8494.7050702698,12087.287533192619,72160014.23086743
9271.875268740308,24879.915231156807,85967670.99907815
5268.111628871794,11052.020562402124,27753000.13425423
5171.568118526464,7676.697896098591,26745116.80455935
4135.8976430378625,1731.4430448696125,17105649.313686144
4831.467532136924,10902.310887179137,23343078.514093257
5766.9194159359395,18723.866276298766,33257359.54989892
7016.765776123837,27804.266970790493,49235001.95698275
13905.074132699436,41377.82515149452,193351086.63586697
12740.02573255153,38755.34962892354,162308255.66607517
6752.819532372692,12497.102199223804,45600571.63679414
6089.851614411107,14595.309116906108,37086292.68554557
11684.19765683071,16887.98495267924,136520474.88388824
8209.927901203919,14401.370055150814,67402916.14296658
8245.135016190334,20452.312044665352,67982251.43520796
5625.347978929964,13625.074691904405,31644539.884051427
6796.654285419857,18656.51392387826,46194509.4755161
8507.147832629887,29983.018043167427,72371564.2462194
8951.910138379097,19652.83107510043,80136695.12561446
9954.63076196469,22822.10213113638,99094673.60705373
8525.048405199117,12120.205215496699,72676450.310988
7244.008874499117,21860.34343296793,52475664.57382196
6332.205599370575,19521.51120038129,40096827.75270007
7671.959197473696,23027.018179342274,58858957.92770124
12884.859957441326,33319.05555933819,166019616.12287486
16441.73072892464,50843.0505208688,270330509.36246467
5116.126999262335,13079.561721250086,26174755.47258102
5563.6073168801195,12765.518349560836,30953726.376442004
5133.627970868072,18652.65112003813,26354136.143279042
8869.941710177865,29497.276707292163,78675865.94195305
5152.021289071916,23803.208892217608,26543323.36305024
3263.2880495714912,14168.804589092395,10649048.894476106
5137.063554788328,18647.55954245251,26389421.965934493
8775.915427530592,24189.44896847552,77016691.59116945
7918.8581739760075,29088.87655749983,62708314.77954663
7049.992517421469,22228.04418873834,49702394.49569869
11672.40518488362,16896.121263702593,136245042.80009803
11606.829973097707,24058.286511881255,134718502.0243993
7628.578666010688,28850.171580309117,58195212.463513404
7117.331161545447,20776.355348267174,50656402.86310586
9352.727253989773,23445.969633008783,87473507.08752309
26966.352558413124,48928.46953087765,727184170.3046341
10829.15748314078,34675.33798597399,117270651.79466397
7747.408390376949,28443.74514877102,60022336.76728314
17719.861476955888,39978.66228637571,313993490.76250535
25577.72720197259,53318.9270102812,654220128.8185287
6704.933703411958,16617.315449036563,44956135.96714959
3581.5888755770643,5333.761762102539,12827778.873657381
12906.884410733404,33317.91931640226,166587665.192033
9290.606851943434,13861.347382038537,86315375.6773783
6668.428435543784,22529.579832504936,44467937.79996891
7341.29296866398,14671.717505276776,53894582.451755196
13904.435661342277,41405.057057261525,193333331.06040683
6851.713622728377,22423.476271532647,46945979.56788162
5667.238133342001,20886.810989310274,32117588.060005724
10378.540524011716,22272.47102880098,107714103.40855339
16398.62435914493,37151.85218220195,268914880.8723415
18056.369347646018,41709.18315517124,326032474.0186107
6705.352524423408,13817.866344386191,44961752.47679137
6081.154347759898,16345.574521685845,36980438.20127911
9365.63006683521,23467.362565534146,87715026.5488077
5745.026629489267,13023.35208007081,33005330.97354081
5288.842693341773,11694.758834343296,27971857.034914657
3478.108270339079,6774.077347313951,12097237.1402011
3264.9941342314914,7376.401920065364,10660186.696566047
2939.763739389702,9159.330836794445,8642210.843430525
3261.110463805075,7703.999931912575,10634841.457138952
3369.991346672008,5816.6676652822225,11356841.676644213
1973.614992751061,2657.8909920337715,3895156.139611771
2037.0481455788222,5687.020290052427,4149565.1474061185
2623.718164048345,5108.841492476339,6883897.004357219
2888.788144635536,5288.231020630489,8345096.944586822
2212.226525937508,4293.239054946552,4893946.202061537
2663.5166186578535,8078.954449513175,7094320.777866566
2983.4285725504133,6262.258868387009,8900846.047510197
2823.189486533611,7969.928372029686,7970398.876873916
1559.9236642334347,6130.528086062504,2433361.8382354653
2070.870227981202,6895.848573568462,4288503.501138914
3527.345027332717,6672.492544427045,12442162.941848846
2115.833248004402,2979.732756859808,4476750.333360856
1692.5579011802126,4226.320555593382,2864752.2488475665
2462.380302672126,7367.843330836795,6063316.754987671
3006.3298317825265,5753.932457275141,9038019.057465555
3383.8268511086967,5823.2229863144275,11450284.158284198
1320.3774408656263,3105.293865323075,1743396.5863468605
1761.9421772160763,5194.833321985429,3104440.235852927
1442.0013939249,1732.7767413358752,2079368.0200813545
1613.7660285513603,1406.9182270034726,2604240.79490643
1019.620087084135,1270.5489208143256,1039625.1219854589
1304.8530565659175,3254.018111254851,1702641.4992294176
1776.0140472396586,3312.08517736774,3154225.895992592
1626.5235859313027,2835.6615374140397,2645578.975590824
1342.1976117727277,4233.2369442364,1801494.4290484136
1762.801011081331,5892.90937563832,3107467.4046693626
3162.092288719433,5504.58500714918,9998827.642378902
1890.9358289043337,2655.5515081364474,3575638.3090341194
1796.3452696698755,3465.624702117519,3226856.327865338
1850.3640040183113,4297.26928576292,3423846.947366677
3102.9254042382627,6778.720773473139,9628146.064267185
3041.138530738759,5385.42091645673,9248523.563143898
1851.8803501796167,4179.221488391094,3429460.83138138
1864.7160142231767,3901.573772724178,3477165.81370037
2238.0750764130066,4303.7653026486005,5008980.047661085
2266.7123957742015,1739.1233063253217,5137985.085156419
1530.56126846098,2285.802546469667,2342617.796512884
1801.2589003873554,6304.596718186151,3244533.6262246645
2310.8696569987615,5982.662558725404,5340118.571637573
2187.624776472744,4571.602097092667,4785702.162637424
1656.5028207015753,6205.422550554913,2744001.5949922753
1955.7600515222223,8735.746782869204,3824997.3791302056
3337.990575719617,5675.109552665623,11142181.083592981
1740.341670535099,1966.6782188329817,3028789.130200899
2322.1079516242557,6757.996731803636,5392185.338996597
2325.2378570730534,4747.913733233472,5406731.091965686
2291.2883132472584,6685.407571321577,5250002.134423466
3038.103423358249,5383.839926465582,9230072.411021113
1942.4582900569587,8142.427180499762,3773144.2086110036
1528.8625875863274,6018.92074623817,2337420.8117211605
1337.3208053241208,4284.988969837271,1788426.936352755
2033.224247101504,4394.189351126847,4134000.839001478
1863.300650927167,5148.919724926806,3471889.315745604
2362.2966478949884,8375.85013957922,5580445.452655898
2246.2282580209553,4690.907673452713,5045541.387131856
2127.6800407913943,6243.39912848097,4527022.35598207
1775.1925087238606,6404.554095458569,3151308.443029314
1691.4999559867244,4592.443521481582,2861172.1011030907
3419.7758868487563,6093.352148158235,11694867.116272196
2737.351722515265,4010.5167154626542,7493094.452757289
2439.2463422809574,5326.730986586777,5949922.718331029
1872.4826925287543,5098.559065840539,3506191.4338197336
2646.7477287249626,2938.003744808334,7005273.539510749
2123.156722353853,2986.3724382106625,4507794.467676357
1335.3879684446533,2018.1973854429086,1783261.0262667385
1371.6309747039986,2045.921018587867,1881371.5307674413
1458.6025824621474,2472.069040648192,2127521.4935652455
1657.869337329447,3347.2280247838225,2748530.73965718
1367.0133627966854,3767.767753795874,1868725.5340647022
1281.7221036384617,4028.393409137332,1642811.5509554034
2024.8314530724958,4192.6868659358615,4099942.413351675
2369.2412247233005,5325.967930823177,5613303.980928366
1959.5593776195906,6961.606386600395,3839872.954416877
1634.9366108522775,4879.062436168039,2673017.721505131
2802.7258230520865,4124.836998706339,7855272.039202995
2744.713580110076,4017.703206917682,7533452.6368406685
2199.416843170321,4880.926874106352,4837434.450021301
1729.943937461867,4641.423163341731,2992706.0267610685
3029.4205525852494,4953.589705181453,9177388.884425918
3501.8164204620216,6794.440253285218,12262718.242617447
2139.1893986846885,5448.832300674066,4576131.283444959
1796.1813565372283,4713.542792946143,3226267.4655719176
1336.478009359135,1964.9720841560563,1786173.4695005561
1400.7487323358794,2050.881459794376,1962097.0111405728
1007.5294806942878,2343.7832777286035,1015115.6544681013
1220.5936811375952,3579.4891400558317,1489848.9344330255
1495.562977651825,2698.892966569075,2236708.6201227927
1669.1659408716491,3347.4783141553753,2786114.938165938
1627.038333908223,5081.523728467352,2647253.740006846
1424.794109423795,4503.350650234902,2030038.2542487446
1472.2824308970667,1954.445291754613,2167615.556328176
1539.7910531330344,1372.725471505413,2370956.4873085395
1093.6670841966366,2075.0863348539524,1196107.6910551728
1036.0749100937765,1779.1065568189556,1073451.219325827
1673.8173414788134,1860.1868318921495,2801664.492635203
1751.7111552829217,1969.9271464560495,3068491.971542628
1209.992095762097,1707.4551644311296,1464080.8718067517
1045.3358612470554,1352.5206645332607,1092727.062809123
1030.022170986744,1504.8327772860353,1060945.6727242453
1052.7486319404638,818.8848641655886,1108279.682052518
766.9885909249665,1119.2848777830734,588271.4986090655
899.8147633500624,1881.0362225097024,809666.6083427288
1236.6060170173498,2102.288009804589,1529194.441323514
1365.3849849039625,2087.058419010009,1864276.1570011938
1073.276080823423,4270.83093892558,1151921.5456676867
1069.944139705323,3483.0044256825763,1144780.462089764
1794.9312638415486,2615.4499897868864,3221778.241915819
1542.2036368291635,1373.927010281201,2378392.0574490987
1518.5366714754812,4398.022809287125,2305953.6226158338
1264.9646615408558,2406.17130795942,1600135.5949471716
1507.3684766468973,2523.720433036018,2272159.7243887875
1906.4272957440203,2662.0952543065296,3634465.033957858
1242.3073397782919,3623.6663716211615,1543327.5264670164
1007.4023649066974,2145.5426567712943,1014859.5248196067
738.0256980739504,2580.457207053857,544681.9310175417
877.1701038343168,2538.273234833526,769427.3910607062
935.0804910398685,3779.3169469598965,874375.5247233616
1193.7141183293063,5267.2835160345885,1424953.396298713
1313.9640751400982,3313.3684210526317,1726501.5907587735
1564.5301375108309,4167.17403145639,2447754.5511796596
1573.9975193544221,6869.390685640362,2477468.1909338743
1047.8793540269958,3695.4127459658202,1098051.140596034
2560.743769943939,5996.163477905631,6557408.655306695
1662.0814418494288,3337.475522570981,2762514.719340276
2566.1335650763554,5881.427180499762,6585041.473811486
1932.4833306143535,6077.598965071152,3734491.8231023448
1773.861258868877,2789.1036971471367,3146583.765715877
1620.7954929396356,2838.446449240825,2626978.029933436
1246.0159251383814,2415.163818342752,1552555.6856984566
1171.9775371250491,2903.353169469599,1373531.347525696
1491.060498575945,1997.8395179410363,2223261.410413546
1531.1187192821988,2722.2850820453464,2344324.5325363604
1491.0425932360558,4041.427248587186,2223208.0148441023
1230.2069828447725,3974.0225369374275,1513409.2206400381
1796.8071262385074,2580.252876693675,3228515.848901483
1889.2848376309084,3463.872608429223,3569397.197702048
1927.2070314492976,5704.302376251107,3714126.942067614
1682.6113246762593,3154.9098522502895,2831180.8699287963
2755.89990140277,6630.5732961122085,7594984.266551797
2369.1363147410925,5331.66235446313,5612806.877825006
2530.433768785397,9718.94219377681,6403095.05820947
2472.782991581247,7055.4397085858245,6114655.723453502
2363.2612909238146,5330.752434125417,5585003.9291788945
2833.02496243201,7984.078096275618,8026030.437762891
2142.266734325907,6991.773541226936,4589306.760999385
1480.1188209251584,5961.145230475931,2190751.724056881
1453.1404364945022,2945.940219241506,2111617.1281754323
1867.9844302073454,2825.7429018860216,3489365.831497061
1648.8875384004195,3043.209300742153,2718830.114292195
1782.1314236468872,5772.66650779601,3175992.411149681
1664.4760007631537,3007.630149111459,2770480.3571165022
1886.7522628602776,3466.802546469667,3559834.1014083778
2008.6286237896193,7147.212500851093,4034588.94830698
2045.281828418914,6925.643630421461,4183177.7576606167
1971.4266883494672,6045.108735616532,3886523.187536547
1556.6363609080547,4162.112957036836,2423116.7601010716
2262.4811161414655,9721.905835092259,5118820.800896731
2346.529627336901,6183.304282698986,5506201.291969854
1964.5518296024848,5798.001361748485,3859463.89119447
2130.2664952951836,6249.562197862055,4538035.3409772245
2423.9816499071508,4445.319466194594,5875687.039086592
1915.5494682095289,3559.2967249948933,3669329.7651578085
1325.0477532961143,3905.4624497855248,1755751.54851508
1607.1736921621878,2908.851024715735,2583007.2767782384
1367.4673915676867,3531.6778783958603,1869967.0670009332
2449.620793805755,5976.9729012051475,6000642.033445537
1808.1708270331164,6840.982433444543,3269481.7397336243
2302.2835813970564,7400.514060053109,5300509.6891704565
5137.259926783501,16103.657111731463,26391439.555335626
5044.693529882678,8096.776741335875,25448932.810440157
1989.3505044567896,4747.091781847893,3957515.429582483
1365.2008918318104,2085.8875195751343,1863773.4750583705
3924.828450355349,15008.773064614965,15404278.364718772
2585.064712904325,5904.308504119289,6682559.56990312
1672.579148956386,4648.6676652822225,2797521.009523669
2189.719934433076,4575.422414380064,4794873.391253594
2645.1848745534235,8451.272417784436,6997003.02056621
1241.1311704526072,4296.20780281882,1540406.5822690586
1333.8444977706392,5055.625791516307,1779141.144233009
1293.7536691460946,3905.767821883298,1673798.5564289822
2248.226590999214,7765.344658541568,5054522.804475945
4119.455005663731,11700.036767209096,16969909.54368797
1495.5823618482368,4381.873221216041,2236766.6010715505
2307.057575990646,7401.267787839586,5322514.658935835
4543.00768526487,12978.723156532988,20638918.82837567
1885.4565941202968,5716.912984271805,3554946.56831171
2971.646906081039,6095.348948049295,8830685.334421013
1391.4552743556064,2044.6402941376728,1936147.7805320357
2421.8661955375214,2773.863484714373,5865435.869087388
2986.794262979335,7118.354326955811,8920939.969366271
1652.4002870357247,2503.381970450058,2730426.7085957453
1606.851664321895,1404.6349833185811,2581972.271134044
1261.707184560114,407.82562810648875,1591905.0195706093
1406.5663632429523,2568.4446108803704,1978428.9342065048
1789.5677748875084,3445.9182270034726,3202552.820915828
1900.9793779509707,4288.569619391298,3613722.5953948596
2296.303598320872,7525.157554299721,5273010.215661384
2244.7167525382292,7736.288418329134,5038753.299125774
2236.247148289489,3396.0907605365287,5000801.308232871
1866.7209103598268,2824.0319330019747,3484646.95717462
2029.2054400749512,3672.226322598216,4117674.7180297766
2459.408346351703,4520.8734935657385,6048689.414104419
2563.4351282358048,5329.626812827671,6571199.656673318
1652.0990988505414,3343.8427861374003,2729431.432422771
1699.618681483598,4922.706679376319,2888703.6624480444
2576.126923129105,8474.433512630218,6636429.924070629
2803.6566673710245,5600.366923129298,7860490.708493999
2900.4774027965173,5296.859876080888,8412769.16413323
2384.3506044356523,3199.7593109552668,5685127.804872661
2010.3002445429352,6165.875740450739,4041307.0732093845
1711.748973910969,4353.835636957854,2930084.549685255
1901.1075215803419,4289.983590930755,3614209.80860935
1840.2723989834064,7674.696330087832,3386602.502460142
3088.8839176282154,11468.087083815619,9541203.856582232
1598.113845437859,3610.812487233608,2553967.862980181
1532.6818859609125,2726.3987880438485,2349113.7635526992
1201.8944390376366,4871.399332743243,1444550.242589595
2111.219057707121,8804.61816572479,4457245.9096257435
1244.3329490896365,4720.923946347109,1548364.4881901117
874.7367306870356,2538.564172397358,765164.3480130434
1125.3388361444547,3535.6699121672227,1266387.496134956
2709.4730181007953,5887.329747395656,7341244.035816234
2141.0407190074397,6557.715939266018,4584055.360447895
2034.7632303646753,4394.774222101178,4140261.403644089
3291.511127949575,4022.890855858923,10834045.505415883
3668.9556613430022,5967.5298563355345,13461235.644900866
1531.852313161576,5589.324164226868,2346571.5093384706
1384.883650425564,2354.7081772996526,1917902.7252160355
1527.6113877701239,3584.322666303534,2333596.552044964
6906.836936786729,10726.761830189964,47704396.47136149
1843.9323323440635,6741.103629059713,3400086.4462638176
1293.915301440463,3905.316061823381,1674216.8073017644
3221.6260234004953,8193.72799074011,10378874.23465129
6315.307246312573,13505.903179682713,39883105.61532809
2157.150509279346,3206.2320419418534,4653298.319684141
1051.1828468878562,818.2407571321577,1104985.377591258
2294.4156608537783,7049.0768707019815,5264343.22477108
3001.4763222319716,3733.2274119970043,9008860.112919161
1948.9147615731847,4366.5106556818955,3798268.7478778637
2272.081078035345,1741.2259140736705,5162352.425166256
3205.218150324013,9221.951930278477,10273423.391166488
1779.7784313662912,4712.692857629196,3167611.2647566563
